offsetNano,x,y,z
2538857045,1.0821838,-1.2545624,9.088394
2543892445,1.0797882,-1.1851349,9.2799225
2548927845,1.1085205,-1.1827393,9.612717
2553993763,1.1731567,-1.2258301,10.017334
2559029164,1.2473755,-1.2976532,10.333374
2564064564,1.3407593,-1.414978,10.498581
2569099964,1.4341278,-1.5251007,10.445908
2574135365,1.493988,-1.5969391,10.3190155
2579201283,1.5251007,-1.4676514,10.247177
2584236683,1.5179291,-1.122879,10.153809
2589272084,1.4580688,-0.78289795,9.825806
2594307484,1.3239899,-0.61291504,9.18895
2599342884,1.1085205,-0.6392517,8.547302
2604378285,0.78289795,-0.7661438,8.082825
2609444203,0.4980011,-0.90979004,7.843399
2614479603,0.30885315,-1.0247192,7.819458
2619515003,0.35194397,-1.1468201,8.068466
2624550404,0.6177063,-1.3096313,8.485046
2629585804,1.019928,-1.4915924,8.973465
2634651722,1.4125824,-1.7741089,9.569626
2639687123,1.7094574,-2.0757751,10.129868
2644722523,1.8962097,-2.324768,10.637436
2649757923,2.0111237,-2.4684296,10.998962
2654793324,2.0231018,-2.525879,11.161774
2659859242,1.9536743,-2.5881348,11.097122
2664894642,1.7836761,-2.6503754,10.876862
2669930043,1.5969391,-2.6623535,10.658981
2674965443,1.4341278,-2.545044,10.462662
2680000843,1.3623047,-2.3223724,10.3190155
2685036244,1.3215942,-2.118866,10.17775
2690102162,1.2761078,-1.9393005,10.043671
2695137562,1.2378082,-1.8028412,9.990997
2700172962,1.1947021,-1.7046661,10.010162
2705208363,1.1899109,-1.6232758,10.029312
2710243763,1.201889,-1.5274963,9.959885
2715309681,1.2042847,-1.4221497,9.866501
2720345082,1.1923065,-1.3215942,9.8138275
2725380482,1.1659698,-1.233017,9.756378
2730415882,1.1468201,-1.1444244,9.72525
2735451283,1.1109161,-1.0534515,9.718063
2740486683,1.1156921,-0.99838257,9.746796
2745552601,1.1180878,-0.9313507,9.686935
2750588002,1.1468201,-0.8571167,9.631866
2755623402,1.1564026,-0.806839,9.593567
2760658802,1.1611938,-0.74938965,9.5720215
2765694203,1.1755524,-0.7374115,9.490616
2770760121,1.2138672,-0.74220276,9.392456
2775795521,1.2593536,-0.7182617,9.303864
2780830921,1.3000488,-0.62727356,9.222458
2785866322,1.3766632,-0.41659546,9.117126
2790901722,1.4484863,-0.02394104,8.956711
2795967640,1.5179291,0.42616272,8.700531
2801003041,1.5682068,0.7972717,8.3797
2806038441,1.5370789,1.0031738,8.049301
2811073841,1.4341278,1.0390778,7.7859497
2816109242,1.3072357,0.93852234,7.6351166
2821175160,1.2617493,0.76374817,7.5608826
2826210560,1.3072357,0.60572815,7.582443
2831245961,1.414978,0.4908142,7.7021484
2836281361,1.5418701,0.3543396,7.917618
2841316761,1.6687622,0.17477417,8.082825
2846382679,1.8004456,-0.03831482,8.111557
